"stop_id","stop_name","stop_lat","stop_lon"
"BS_1100_100000131","명륜동2가.성균관대입구","37.583330000","126.999400000"
"BS_1100_100000132","혜화역.서울연극센터(장면총리가옥)","37.584020000","127.001330000"
"BS_1100_100000133","혜화역.동성중고(장면총리가옥)","37.584570000","127.001720000"
"BS_1100_100000135","종로구민회관.창신동두산아파트","37.574090000","127.015560000"
"BS_1100_100000139","동묘역앞","37.571680000","127.015600000"
"BS_1100_100000140","동묘역앞","37.571920000","127.015950000"
"BS_1100_100000142","창신3동주민센터","37.578410000","127.015180000"
"BS_1100_100000143","숭인1동주민센터.창신역4번출구","37.578770000","127.015550000"
"BS_1100_100000144","동묘역.롯데캐슬천지인","37.574180000","127.015800000"
"BS_1100_100000147","신설동로터리","37.575930000","127.022780000"
"BS_1100_100000150","구기동현대빌라","37.609680000","126.956620000"
"BS_1100_100000151","광장시장","37.569470000","126.997740000"
"BS_1100_100000153","혜화경찰서","37.572580000","126.997480000"
"BS_1100_100000154","서울역사박물관.김구집무실(경교장)","37.569900000","126.972130000"
"BS_1100_100000155","청계3가.관수교","37.568690000","126.993780000"
"BS_1100_100000156","청계6가.버들다리","37.569930000","127.008040000"
"BS_1100_100000157","청계7가.맑은내다리","37.570000000","127.012960000"
"BS_1100_100000158","청계8가.영도교","37.570950000","127.018230000"
"BS_1100_100000159","원남동사거리","37.575720000","126.998210000"
"BS_1100_100000165","숭인동","37.574270000","127.020440000"
"BS_1100_100000169","조계사","37.572800000","126.983160000"
"BS_1100_100000174","세종문화회관","37.573950000","126.976870000"
"BS_1100_100000179","이화동(이화장)","37.576260000","127.002960000"
"BS_1100_100000180","상명대정문","37.601620000","126.955020000"
"BS_1100_100000181","이북오도청","37.613050000","126.955890000"
"BS_1100_100000188","상명대입구.세검정교회","37.599440000","126.959790000"
"BS_1100_100000189","상명대입구.석파랑","37.599570000","126.958190000"
"BS_1100_100000190","종로중부새마을금고","37.572420000","127.006590000"
"BS_1100_100000191","신설동로터리.신한은행앞.서울풍물시장","37.574390000","127.023120000"
"BS_1100_100000192","청계2가.삼일교","37.568450000","126.987220000"
"BS_1100_100000193","청계8가.황학교","37.572130000","127.022790000"
"BS_1100_100000329","광화문","37.570330000","126.973830000"
"BS_1100_100000330","종로1가","37.570370000","126.980130000"
"BS_1100_100000333","종로2가","37.569970000","126.985580000"
"BS_1100_100000334","종로3가","37.570590000","126.993160000"
"BS_1100_100000335","종로3가","37.570100000","126.990990000"
"BS_1100_100000336","종로4가","37.570420000","126.996880000"
"BS_1100_100000338","동대문종합시장종로6가","37.570790000","127.003210000"
"BS_1100_100000343","경복궁역","37.576180000","126.971510000"
"BS_1100_100000344","경복궁역","37.575760000","126.971320000"
"BS_1100_100000345","안국역","37.576610000","126.985230000"
"BS_1100_100000346","안국역","37.576320000","126.985510000"
"BS_1100_100000347","창덕궁","37.577530000","126.988790000"
"BS_1100_100000348","성대입구","37.583590000","126.999700000"
"BS_1100_100000355","평창동삼성아파트","37.611110000","126.978760000"
"BS_1100_100000360","창경궁.고궁호텔.메이플레이스호텔","37.576560000","126.997450000"
"BS_1100_100000362","영천시장","37.569610000","126.963010000"
"BS_1100_100000363","영천시장","37.569940000","126.962530000"
"BS_1100_100000364","동묘앞","37.573730000","127.017820000"
"BS_1100_100000365","동대문(흥인지문)","37.571950000","127.012050000"
"BS_1100_100000366","동묘앞","37.573780000","127.018410000"
"BS_1100_100000367","동묘앞","37.574240000","127.019670000"
"BS_1100_100000368","서대문역사거리.적십자병원","37.567110000","126.967590000"
"BS_1100_100000369","안국역.서울공예박물관","37.576400000","126.984770000"
"BS_1100_100000370","안국역.인사동","37.576330000","126.985540000"
"BS_1100_100000371","창덕궁","37.577230000","126.989000000"
"BS_1100_100000376","강북삼성병원","37.568150000","126.968600000"
"BS_1100_100000379","서울역사박물관.경희궁앞","37.569410000","126.970610000"
"BS_1100_100000380","서울역사박물관.경희궁앞","37.569140000","126.970380000"
"BS_1100_100000384","광화문","37.570240000","126.976090000"
"BS_1100_100000385","광화문","37.570220000","126.978090000"
"BS_1100_100000386","종로1가","37.570150000","126.981070000"
"BS_1100_100000387","종로1가","37.570230000","126.981390000"
"BS_1100_100000388","종로2가","37.570140000","126.985540000"
"BS_1100_100000389","종로2가","37.570260000","126.986250000"
"BS_1100_100000390","종로3가.탑골공원","37.570240000","126.989560000"
"BS_1100_100000391","종로3가.탑골공원","37.570360000","126.989990000"
"BS_1100_100000392","종로4가.종묘","37.570510000","126.994720000"
"BS_1100_100000393","종로4가.종묘","37.570630000","126.995280000"
"BS_1100_100000394","종로5가.광장시장","37.570760000","126.998850000"
"BS_1100_100000395","종로5가.광장시장","37.570880000","126.999330000"
"BS_1100_100000396","종로6가.동대문종합시장","37.570920000","127.004770000"
"BS_1100_100000397","종로6가.동대문종합시장","37.571130000","127.005710000"
"BS_1100_100000398","동대문역.흥인지문","37.572300000","127.013450000"
"BS_1100_100000399","동대문역JW메리어트동대문호텔","37.570300000","127.009470000"
"BS_1100_100000413","남인사마당","37.571320000","126.987430000"
"BS_1100_100000414","창덕궁.돈화문국악당","37.577300000","126.991080000"
"BS_1100_100000415","국립고궁박물관","37.578800000","126.974050000"
"BS_1100_100000416","청와대","37.582750000","126.973780000"
"BS_1100_100000417","춘추문","37.582910000","126.979730000"
"BS_1100_100000418","경복궁.국립민속박물관","37.579530000","126.979500000"
"BS_1100_100000419","경복궁역(효자로입구)","37.576580000","126.974400000"
"BS_1100_100900002","경진빌라","37.601860000","126.957950000"
"BS_1100_100900003","혜화초등학교","37.587250000","126.999850000"
"BS_1100_100900004","명륜시장.성대후문","37.588720000","126.995230000"
"BS_1100_100900005","오거리.한옥마을입구","37.579500000","126.969540000"
"BS_1100_100900006","완성빌라","37.603340000","126.957670000"
"BS_1100_100900007","삼청파출소","37.581810000","126.981250000"
"BS_1100_100900008","양현관","37.589770000","126.993770000"
"BS_1100_100900009","종로5가입구.혜화경찰서","37.571750000","126.997540000"
"BS_1100_100900010","상명대후문","37.604070000","126.957460000"
"BS_1100_100900011","원서고개","37.583080000","126.987810000"
"BS_1100_100900012","샘미용실","37.590250000","126.993410000"
"BS_1100_100900013","창신쌍용2단지.한성대후문","37.581260000","127.012760000"
"BS_1100_100900014","산정빌라","37.605280000","126.957580000"
"BS_1100_100900015","경희궁자이2.3단지","37.568790000","126.964070000"
"BS_1100_100900016","오거리","37.607060000","126.962260000"
"BS_1100_100900017","국민생활관","37.589750000","126.998860000"
"BS_1100_100900018","구기빌라","37.606130000","126.957980000"
"BS_1100_100900019","마트앞","37.606700000","126.958760000"
"BS_1100_100900020","통인시장","37.580450000","126.968750000"
"BS_1100_100900021","양현관","37.589790000","126.993600000"
"BS_1100_100900022","국민은행.세검정지점","37.604890000","126.960790000"
"BS_1100_100900024","삼청동주민센터","37.584260000","126.981910000"
"BS_1100_100900025","세검초등학교","37.604250000","126.961490000"
"BS_1100_100900026","빨래터.고희동미술관","37.583100000","126.988970000"
"BS_1100_100900027","혜화역4번출구","37.583460000","127.001460000"
"BS_1100_100900028","방송통신대앞","37.578700000","127.001990000"
"BS_1100_100900029","화정박물관","37.604980000","126.965200000"
"BS_1100_100900030","서울대치과대학","37.577310000","126.997870000"
"BS_1100_100900031","서울국제고등학교","37.589070000","126.997290000"
"BS_1100_100900032","샘미용실","37.590310000","126.993220000"
"BS_1100_100900033","효제초교.연동교회.김마리아활동터","37.573640000","127.002210000"
"BS_1100_100900034","박노수미술관","37.581000000","126.966600000"
"BS_1100_100900035","금융연수원","37.586600000","126.981570000"
"BS_1100_100900036","화정박물관","37.604800000","126.964880000"
"BS_1100_100900037","인사미술공간.세탁소","37.581410000","126.989370000"
"BS_1100_100900038","서울대치과대학","37.577600000","126.997770000"
"BS_1100_100900039","낙산공원","37.580400000","127.008720000"
"BS_1100_100900040","명륜3가종점","37.590950000","126.992860000"
"BS_1100_100900041","수성동계곡","37.582080000","126.964250000"
"BS_1100_100900042","서울대학교병원현관.암병원현관","37.578950000","126.998160000"
"BS_1100_100900044","서대문3번출구","37.566420000","126.966220000"
"BS_1100_100900045","통일부","37.587590000","126.985950000"
"BS_1100_100900046","명륜시장.성대후문","37.588510000","126.995250000"
"BS_1100_100900047","평창파출소","37.605680000","126.966820000"
"BS_1100_100900048","가회동주민센터","37.579940000","126.984850000"
"BS_1100_100900049","독립문초등학교","37.573850000","126.960720000"
"BS_1100_100900050","아름다운실버","37.612010000","126.965460000"
"BS_1100_100900051","창덕궁","37.576090000","126.990620000"
"BS_1100_100900052","북촌한옥마을입구.정세권활동터","37.581600000","126.984940000"
"BS_1100_100900053","청룡사.보문파크뷰자이아파트","37.580020000","127.017010000"
"BS_1100_100900054","소나무집","37.611280000","126.964110000"
"BS_1100_100900056","경복궁","37.576950000","126.979340000"
"BS_1100_100900057","종로3가.1.3.5호선","37.571070000","126.992180000"
"BS_1100_100900058","안국선원.삼거리","37.582790000","126.984990000"
"BS_1100_100900059","사우디대사관앞.경남빌라","37.584110000","126.985030000"
"BS_1100_100900060","종로센트레빌후문.e편한세상보문아파트","37.581770000","127.016190000"
"BS_1100_100900061","경희궁자이4단지","37.570700000","126.962110000"
"BS_1100_100900062","언덕앞","37.608950000","126.963790000"
"BS_1100_100900063","혜화우체국","37.586040000","127.000610000"
"BS_1100_100900064","새마을금고","37.587740000","126.996520000"
"BS_1100_100900065","광화문새마을금고","37.579370000","126.971150000"
"BS_1100_100900066","종로4가.종묘공원","37.570630000","126.994460000"
"BS_1100_100900067","인왕빌딩","37.607930000","126.957740000"
"BS_1100_100900068","중앙중고","37.583090000","126.986970000"
"BS_1100_100900069","감사원","37.586210000","126.985290000"
"BS_1100_100900070","명신초.삼선푸르지오.힐스테이트","37.582110000","127.014560000"
"BS_1100_100900071","영천시장","37.570010000","126.962840000"
"BS_1100_100900072","청련사입구","37.607980000","126.962430000"
"BS_1100_100900073","한국사회과학자료원","37.573630000","126.964140000"
"BS_1100_100900074","감나무골공원","37.612410000","126.969950000"
"BS_1100_100900075","혜화역1번출구","37.583450000","127.001940000"
"BS_1100_100900076","서울대병원장례식장","37.580560000","126.997430000"
"BS_1100_100900077","완성빌라","37.603400000","126.957500000"
"BS_1100_100900078","낙원상가","37.573680000","126.987290000"
"BS_1100_100900079","힐탑","37.611610000","126.969020000"
"BS_1100_100900080","상명대후문","37.604030000","126.957340000"
"BS_1100_100900081","수운회관","37.575160000","126.986520000"
"BS_1100_100900082","넓은마당","37.575270000","126.962890000"
"BS_1100_100900083","화인빌라","37.612930000","126.968540000"
"BS_1100_100900085","서울대어린이병원응급실.갑상선센터","37.578120000","126.999500000"
"BS_1100_100900086","헌법재판소.안국역","37.577560000","126.985680000"
"BS_1100_100900088","무악현대아파트후문","37.576310000","126.962000000"
"BS_1100_100900089","박종화고택입구","37.614310000","126.967690000"
"BS_1100_100900090","이화사거리","37.576470000","127.002010000"
"BS_1100_100900091","산정빌라","37.605150000","126.957490000"
"BS_1100_100900092","아름다운가게.정독도서관","37.578900000","126.985020000"
"BS_1100_100900093","쌍용아파트입구.창신역","37.580510000","127.014960000"
"BS_1100_100900094","천사유치원","37.574650000","126.961860000"
"BS_1100_100900095","보현산신각","37.613480000","126.965780000"
"BS_1100_100900096","원남로터리","37.576240000","126.997510000"
"BS_1100_100900097","구기빌라","37.606270000","126.957980000"
"BS_1100_100900098","평창동산림제3초소","37.617240000","126.977050000"
"BS_1100_100900099","통인시장.종로구보건소","37.580340000","126.968750000"
"BS_1100_100900100","삼청파출소","37.581650000","126.981330000"
"BS_1100_100900101","종로사우나","37.573800000","126.987750000"
"BS_1100_100900102","종로도서관","37.576480000","126.967130000"
"BS_1100_100900103","평창공원지킴터입구","37.616400000","126.975740000"
"BS_1100_100900104","오거리.한옥마을입구","37.579470000","126.969740000"
"BS_1100_100900105","정독도서관","37.580190000","126.980200000"
"BS_1100_100900106","인사동들머리.3.1독립선언터","37.571950000","126.983300000"
"BS_1100_100900107","종로5가.3번출구","37.571420000","127.002090000"
"BS_1100_100900108","활터앞","37.576810000","126.965330000"
"BS_1100_100900109","참샘골공원","37.614570000","126.974120000"
"BS_1100_100900111","광화문새마을금고","37.579490000","126.971030000"
"BS_1100_100900112","상명초등학교","37.600920000","126.956720000"
"BS_1100_100900113","단군성전앞","37.575560000","126.965320000"
"BS_1100_100900114","무애사","37.613900000","126.971850000"
"BS_1100_100900115","서교빌라","37.601990000","126.957160000"
"BS_1100_100900116","종각역YMCA","37.570340000","126.985070000"
"BS_1100_100900117","동대문역.2번출구","37.572050000","127.011720000"
"BS_1100_100900118","종로문화센터","37.574650000","126.964630000"
"BS_1100_100900119","EN갤러리","37.613410000","126.970700000"
"BS_1100_100900120","경진빌라","37.602000000","126.957830000"
"BS_1100_100900121","금강제화","37.570540000","126.987440000"
"BS_1100_100900122","창신초교","37.576040000","127.015720000"
"BS_1100_100900123","교남동새마을금고","37.571490000","126.962340000"
"BS_1100_100900124","형제봉입구","37.612860000","126.981690000"
"BS_1100_100900125","현대사거리","37.579240000","126.986640000"
"BS_1100_100900126","대신중고","37.572620000","126.961690000"
"BS_1100_100900127","연화정사","37.614650000","126.979490000"
"BS_1100_100900128","이화사거리","37.575320000","127.002280000"
"BS_1100_100900129","삼청공원삼거리.옥호정터","37.587420000","126.981740000"
"BS_1100_100900131","재동초등학교","37.578790000","126.985360000"
"BS_1100_100900133","카센터.터널앞","37.574160000","126.965860000"
"BS_1100_100900134","감람산기도원","37.615940000","126.979870000"
"BS_1100_100900135","금융연수원","37.585880000","126.981850000"
"BS_1100_100900137","충신시장","37.574980000","127.005400000"
"BS_1100_100900138","어린이도서관","37.576220000","126.968900000"
"BS_1100_100900139","김창열.윤명로화실","37.616300000","126.978370000"
"BS_1100_100900140","박노수미술관","37.581030000","126.966890000"
"BS_1100_100900141","삼청동주민센터","37.584680000","126.982210000"
"BS_1100_100900142","상명대입구","37.600020000","126.956960000"
"BS_1100_100900143","대학로입구.이화사거리","37.575980000","127.002580000"
"BS_1100_100900144","운현궁","37.575270000","126.986980000"
"BS_1100_100900145","배화여중고","37.576760000","126.967820000"
"BS_1100_100900147","감사원","37.586270000","126.985560000"
"BS_1100_100900148","청룡사.보문파크뷰자이아파트","37.579780000","127.017150000"
"BS_1100_100900149","강북삼성병원","37.568530000","126.968340000"
"BS_1100_100900151","혜화초등학교","37.587390000","126.999990000"
"BS_1100_100900152","상명대입구","37.599850000","126.957400000"
